,Store,StoreType,Assortment,CompetitionDistance,CompetitionOpenSinceMonth,CompetitionOpenSinceYear,Promo2,Promo2SinceWeek,Promo2SinceYear,PromoInterval,Sales_avg_store
205,206,a,c,380.0,,,1,14.0,2012.0,"Jan,Apr,Jul,Oct",6692.175946547986
206,207,a,a,6870.0,,,0,,,,11207.920529801382
207,208,c,a,300.0,4.0,2006.0,0,,,,2894.034934497834
208,209,a,c,11680.0,9.0,2011.0,1,31.0,2013.0,"Jan,Apr,Jul,Oct",5501.02600000004
209,210,d,a,970.0,11.0,1999.0,1,5.0,2013.0,"Feb,May,Aug,Nov",3105.5639269406174
210,211,a,c,350.0,11.0,2006.0,0,,,,12766.87885462564
211,212,a,c,15050.0,9.0,2008.0,0,,,,4794.8112359550205
212,213,d,c,4030.0,3.0,2014.0,1,1.0,2014.0,"Jan,Apr,Jul,Oct",7787.131578947411
213,214,d,a,8650.0,7.0,2013.0,1,10.0,2014.0,"Jan,Apr,Jul,Oct",9221.589519650674
214,215,d,a,150.0,,,1,45.0,2009.0,"Feb,May,Aug,Nov",6299.469339622649
215,216,c,a,190.0,,,1,45.0,2009.0,"Feb,May,Aug,Nov",7179.362831858445
216,217,c,a,3150.0,,,0,,,,4583.95067264574
217,218,a,c,640.0,,,1,9.0,2011.0,"Mar,Jun,Sept,Dec",5019.728773584908
218,219,a,a,1640.0,2.0,2013.0,0,,,,3090.4778761062203
219,220,a,a,1000.0,9.0,2008.0,0,,,,4909.771618625283
220,221,d,c,13530.0,9.0,2013.0,0,,,,5542.681318681259
221,222,a,a,2170.0,11.0,2008.0,0,,,,4904.643171806189
222,223,d,c,2920.0,10.0,1995.0,1,27.0,2011.0,"Jan,Apr,Jul,Oct",7199.301310043752
223,224,d,c,7930.0,,,1,1.0,2013.0,"Jan,Apr,Jul,Oct",6168.391111111155
224,225,d,a,10180.0,5.0,2015.0,0,,,,5080.256696428605
225,226,a,a,450.0,,,0,,,,7426.668131868238
226,227,a,a,2370.0,,,0,,,,5668.407079646014
227,228,d,c,10800.0,,,1,18.0,2011.0,"Feb,May,Aug,Nov",7678.762114537433
228,229,d,c,17410.0,4.0,2007.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct",8410.331081081156
229,230,d,c,6680.0,9.0,2013.0,0,,,,7284.245033112473
230,231,d,c,3840.0,10.0,2008.0,1,39.0,2010.0,"Feb,May,Aug,Nov",4633.583138173295
231,232,c,c,13570.0,5.0,2010.0,1,10.0,2013.0,"Mar,Jun,Sept,Dec",3181.3694117646805
232,233,a,a,1890.0,,,0,,,,9338.16043956047
233,234,d,a,4370.0,,,0,,,,10946.265765765698
234,235,a,a,5710.0,3.0,2012.0,1,37.0,2009.0,"Jan,Apr,Jul,Oct",5990.336302895244
235,236,a,a,1000.0,11.0,2007.0,0,,,,6922.797826087007
236,237,a,a,1420.0,11.0,2007.0,0,,,,4421.283185840731
237,238,a,a,320.0,,,1,45.0,2009.0,"Feb,May,Aug,Nov",7646.9116279069385
238,239,d,c,610.0,,,0,,,,4833.412946428603
239,240,a,a,1110.0,5.0,2009.0,0,,,,4722.612200435718
240,241,d,c,780.0,,,0,,,,6386.98039215677
241,242,d,a,6880.0,9.0,2001.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct",4091.5676274944763
242,243,a,a,310.0,,,1,5.0,2013.0,"Feb,May,Aug,Nov",7145.0839160839105
243,244,d,a,710.0,3.0,2012.0,1,1.0,2012.0,"Jan,Apr,Jul,Oct",5089.627802690532
244,245,a,c,1310.0,,,0,,,,8729.937639198259
245,246,c,a,4660.0,4.0,2013.0,0,,,,6991.054229934823
246,247,d,c,70.0,11.0,2010.0,1,5.0,2013.0,"Feb,May,Aug,Nov",8491.936263736316
247,248,a,c,340.0,9.0,2012.0,1,40.0,2012.0,"Jan,Apr,Jul,Oct",8329.537610619409
248,249,d,c,18010.0,9.0,2014.0,0,,,,5104.650442477822
249,250,d,a,3520.0,,,1,18.0,2012.0,"Feb,May,Aug,Nov",8050.308888888916
250,251,a,c,340.0,,,0,,,,18880.057906458755
251,252,d,c,22330.0,,,1,5.0,2010.0,"Feb,May,Aug,Nov",10679.68653421638
252,253,a,c,250.0,,,1,5.0,2013.0,"Feb,May,Aug,Nov",5786.452702702639
253,254,d,a,330.0,3.0,2008.0,1,1.0,2012.0,"Mar,Jun,Sept,Dec",2875.6629464285797
254,255,c,c,4630.0,3.0,2011.0,1,35.0,2011.0,"Feb,May,Aug,Nov",6166.909492273786
255,256,a,c,80.0,9.0,2005.0,1,10.0,2014.0,"Mar,Jun,Sept,Dec",10206.07795100221
256,257,a,a,420.0,12.0,2012.0,0,,,,5470.616407982225
257,258,a,a,27190.0,7.0,2010.0,1,37.0,2009.0,"Jan,Apr,Jul,Oct",5569.287735849113
258,259,b,b,210.0,,,0,,,,10939.412757973814
259,260,a,a,540.0,10.0,2011.0,0,,,,6603.316483516581
260,261,d,c,15340.0,4.0,2015.0,1,39.0,2009.0,"Jan,Apr,Jul,Oct",12680.397260273863
261,262,b,a,1180.0,5.0,2013.0,0,,,,20647.98706099814
262,263,a,c,1140.0,5.0,2013.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct",3426.9762470308424
263,264,a,a,180.0,3.0,2014.0,0,,,,7605.274826789775
264,265,a,a,4580.0,,,1,14.0,2015.0,"Jan,Apr,Jul,Oct",4867.251111111134
265,266,a,c,360.0,3.0,2014.0,1,9.0,2011.0,"Mar,Jun,Sept,Dec",4481.188596491235
266,267,c,a,2460.0,1.0,2012.0,0,,,,9202.627753303963
267,268,a,a,4520.0,2.0,2014.0,0,,,,4824.944071588394
268,269,a,c,60.0,6.0,2015.0,0,,,,9370.31938325987
269,270,a,a,1450.0,7.0,2014.0,0,,,,9064.86830357146
270,271,a,a,420.0,,,1,14.0,2011.0,"Jan,Apr,Jul,Oct",7611.1412803531575
271,272,a,a,16180.0,7.0,2003.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct",6228.936123347972
272,273,a,c,8480.0,,,0,,,,6732.929705215494
273,274,b,b,3640.0,,,1,10.0,2013.0,"Jan,Apr,Jul,Oct",3757.7735849056044
274,275,d,a,300.0,5.0,2014.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct",7672.444444444488
275,276,a,a,2960.0,10.0,2014.0,1,36.0,2013.0,"Mar,Jun,Sept,Dec",4168.29147982064
276,277,d,c,7840.0,,,1,31.0,2009.0,"Feb,May,Aug,Nov",6508.224586288442
277,278,a,c,9260.0,2.0,2010.0,0,,,,7039.990970654536
278,279,d,c,2320.0,,,1,40.0,2012.0,"Jan,Apr,Jul,Oct",8303.323809523732
279,280,d,c,18640.0,9.0,2013.0,1,10.0,2014.0,"Mar,Jun,Sept,Dec",6242.513513513483
280,281,d,c,6970.0,9.0,2011.0,0,,,,5737.680272108868
281,282,a,a,1220.0,12.0,2010.0,0,,,,4388.653061224463
282,283,a,a,2260.0,,,1,40.0,2014.0,"Jan,Apr,Jul,Oct",6959.775903614371
283,284,d,a,1290.0,,,1,40.0,2014.0,"Jan,Apr,Jul,Oct",5284.8076009500655
284,285,a,a,2410.0,,,0,,,,4901.63122171951
285,286,a,a,1460.0,4.0,2015.0,0,,,,5025.954048140007
286,287,c,a,2740.0,5.0,2009.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct",8058.032786885269
287,288,d,a,800.0,,,1,14.0,2011.0,"Mar,Jun,Sept,Dec",5592.914691943176
288,289,d,a,6540.0,12.0,2007.0,0,,,,6427.716853932512
289,290,a,a,4150.0,5.0,2001.0,0,,,,6865.919999999952
290,291,d,a,,,,0,,,,8018.642369020621
291,292,a,a,1100.0,6.0,2009.0,0,,,,5638.782997762815
292,293,c,c,140.0,11.0,2007.0,0,,,,6127.775055679353
293,294,a,a,3150.0,5.0,2005.0,0,,,,5666.035634743942
294,295,a,a,210.0,11.0,2000.0,1,36.0,2013.0,"Mar,Jun,Sept,Dec",5050.339325842742
295,296,a,a,9580.0,5.0,2007.0,1,45.0,2014.0,"Feb,May,Aug,Nov",6836.399563318704
296,297,a,a,2300.0,9.0,2010.0,0,,,,6911.886160714205
297,298,d,a,19840.0,7.0,2009.0,0,,,,8353.478365384559
298,299,d,c,38630.0,9.0,2012.0,0,,,,6019.990079365096
299,300,a,c,120.0,4.0,2009.0,1,1.0,2012.0,"Jan,Apr,Jul,Oct",6743.245614035061
300,301,a,c,4510.0,3.0,2015.0,0,,,,5409.201773835852
301,302,d,c,2190.0,12.0,2007.0,1,9.0,2011.0,"Mar,Jun,Sept,Dec",3606.9777282851137
302,303,a,a,15430.0,11.0,2012.0,1,18.0,2011.0,"Feb,May,Aug,Nov",6186.845977011567
303,304,a,a,1950.0,7.0,2015.0,0,,,,7049.290748898754
304,305,c,c,2470.0,2.0,2005.0,1,31.0,2013.0,"Mar,Jun,Sept,Dec",4753.984198645645
305,306,a,a,5100.0,4.0,2007.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct",4344.35885167465
306,307,a,a,18660.0,9.0,2002.0,0,,,,2671.7807017543823
307,308,a,a,1070.0,12.0,2006.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct",9697.924999999897
308,309,d,a,8740.0,,,1,37.0,2009.0,"Feb,May,Aug,Nov",6895.823660714206
309,310,a,c,2290.0,,,1,10.0,2014.0,"Mar,Jun,Sept,Dec",7859.736030828564
310,311,a,c,680.0,7.0,2005.0,0,,,,6456.657596371941
311,312,d,a,11300.0,3.0,2012.0,0,,,,5502.380313199051
312,313,d,c,14160.0,,,0,,,,7088.538461538492
